ÿRésumé de l'estimation
Coût initial,Coût mensuel,Total 12 months cost,Devise
0,19856.93,238283.16,USD
,,* Inclut le coût initial


Estimation détaillée
Hiérarchie du groupe,Région,Description,Service,Frais initiaux,Frais mensuels,First 12 months total,Devise,Récapitulatif de configuration
Increased_Cost Estimate,USA Est (Virginie du Nord),,VPN Connection,0,1085,13020.00,USD,"Jours ouvrés par mois (30), Nombre de connexions Site-to-Site VPN par heure (2), Nombre d'associations de sous-réseaux (4)"
Increased_Cost Estimate,USA Est (Virginie du Nord),,Network Address Translation (NAT) Gateway,0,1931.4,23176.80,USD,Nombre de passerelles NAT (4)
Increased_Cost Estimate,USA Est (Virginie du Nord),,Data Transfer,0,2252.8,27033.60,USD,"DT Entrant: Toutes les autres régions (10 To par mois), DT Sortant: Toutes les autres régions (100 To par mois), DT Intra-région: (10 To par mois), Coût du transfert de données (2252.8)"
Increased_Cost Estimate,USA Est (Virginie du Nord),,Amazon EC2 ,0,8103,97236.00,USD,"Location (Instances dédiées), Système d'exploitation (Linux), DT Entrant: Not selected (0 To par mois), DT Sortant: Not selected (0 To par mois), DT Intra-région: (0 To par mois), Workload (Consistent, Nombre d'instances: 4), Activer la surveillance (désactivé), Instance EC2 avancée (m4.16xlarge), Pricing strategy (), Fréquence d'instantané (Aucun stockage d'instantanés)"
Increased_Cost Estimate,USA Est (Virginie du Nord),,Amazon RDS for MySQL,0,4312.12,51745.44,USD,"Stockage pour chaque instance RDS (SSD à usage général (gp2)), Quantité de stockage (100 Go), Quantité (2), Type d'instance (db.m4.4xlarge), Utilisation (à la demande uniquement) (100 %Utilized/Month), Option de déploiement (Multi-AZ), Modèle de tarification (OnDemand)"
Increased_Cost Estimate,USA Est (Virginie du Nord),,S3 Standard,0,374,4488.00,USD,Stockage standard S3 (10000 Go par mois)
Increased_Cost Estimate,USA Est (Virginie du Nord),,Data Transfer,0,0,0.00,USD,
Increased_Cost Estimate,USA Est (Virginie du Nord),,Amazon CloudFront,0,1060,12720.00,USD,"Transfert de données en sortie vers Internet (10000 Go par mois), Transfert de données en sortie vers l'origine (10000 Go par mois), Nombre de requêtes (HTTPS) (10000000 par mois)"
Increased_Cost Estimate,USA Est (Virginie du Nord),,AWS Data Transfer,0,296.96000000000004,3563.52,USD,"DT Entrant: Toutes les autres régions (0 To par mois), DT Sortant: Internet (1 To par mois), DT Intra-région: (10 To par mois), Coût du transfert de données (296.96000000000004)"
Increased_Cost Estimate,USA Est (Virginie du Nord),,Application Load Balancer,0,441.65000000000003,5299.80,USD,Nombre d'Application Load Balancers (2)



Accusé de réception
"* AWS Pricing Calculator fournit seulement une estimation de vos frais AWS et n'inclut pas toutes les taxes qui peuvent s'appliquer. Les frais réels dépendent de divers facteurs, et notamment de votre utilisation réelle des services AWS."
